target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
106_32_dither,2026-07-19 01:20:38.123,2026-07-19 01:22:18.123,1.666666666666714,253.63153116144667,-15.194805194805197,{'dither': True},61240.055996793984,3,16.90876874409645
108_32_dither,2026-07-19 01:22:18.123,2026-07-19 01:23:58.123,1.666666666666714,258.46374592654735,-15.194805194805197,{'dither': True},61240.057154201386,3,17.23091639510316
110_32_dither,2026-07-19 01:23:58.123,2026-07-19 01:25:38.123,1.666666666666714,263.2959606916481,-15.194805194805197,{'dither': True},61240.058311608795,3,17.553064046109874
Unused Time,2026-07-19 01:25:38.123,2026-07-19 01:27:18.123,1.6666666666659147,,,,61240.0594690162,3,
80_26,2026-07-19 01:27:18.123,2026-07-19 01:28:58.123,1.666666666666714,211.76470588235296,-29.220779220779225,{'dither': False},61240.06062642361,4,14.117647058823533
90_28,2026-07-19 01:28:58.123,2026-07-19 01:30:38.123,1.666666666666714,229.7872340425532,-24.545454545454543,{'dither': False},61240.06178383102,4,15.319148936170215
88_28,2026-07-19 01:30:38.123,2026-07-19 01:32:18.123,1.666666666666714,224.68085106382975,-24.545454545454543,{'dither': False},61240.06294123842,4,14.97872340425532
86_28,2026-07-19 01:32:18.123,2026-07-19 01:33:58.123,1.666666666666714,219.5744680851064,-24.545454545454543,{'dither': False},61240.06409864583,4,14.638297872340429
84_28,2026-07-19 01:33:58.123,2026-07-19 01:35:38.123,1.666666666666714,214.46808510638297,-24.545454545454543,{'dither': False},61240.06525605324,4,14.297872340425535
82_28,2026-07-19 01:35:38.123,2026-07-19 01:37:18.123,1.666666666666714,209.36170212765956,-24.545454545454543,{'dither': False},61240.06641346065,4,13.957446808510639
86_30,2026-07-19 01:37:18.123,2026-07-19 01:38:58.123,1.666666666666714,212.05479452054792,-19.870129870129876,{'dither': False},61240.06757086806,4,14.136986301369864
88_30,2026-07-19 01:38:58.123,2026-07-19 01:40:38.123,1.666666666666714,216.986301369863,-19.870129870129876,{'dither': False},61240.068728275466,4,14.465753424657537
90_30,2026-07-19 01:40:38.123,2026-07-19 01:42:18.123,1.666666666666714,221.91780821917808,-19.870129870129876,{'dither': False},61240.06988568287,4,14.794520547945208
92_30,2026-07-19 01:42:18.123,2026-07-19 01:43:58.123,1.666666666666714,226.84931506849315,-19.870129870129876,{'dither': False},61240.071043090276,4,15.12328767123288
94_30,2026-07-19 01:43:58.123,2026-07-19 01:45:38.123,1.666666666666714,231.78082191780825,-19.870129870129876,{'dither': False},61240.072200497685,4,15.452054794520553
98_32,2026-07-19 01:45:38.123,2026-07-19 01:47:18.123,1.666666666666714,236.77852348993292,-15.194805194805197,{'dither': False},61240.073357905094,4,15.785234899328865
96_32,2026-07-19 01:47:18.123,2026-07-19 01:48:58.123,1.666666666666714,231.94630872483225,-15.194805194805197,{'dither': False},61240.0745153125,4,15.463087248322154
94_32,2026-07-19 01:48:58.123,2026-07-19 01:50:38.123,1.666666666666714,227.11409395973155,-15.194805194805197,{'dither': False},61240.075672719904,4,15.14093959731544
92_32,2026-07-19 01:50:38.123,2026-07-19 01:52:18.123,1.666666666666714,222.28187919463087,-15.194805194805197,{'dither': False},61240.07683012731,4,14.818791946308728
90_32,2026-07-19 01:52:18.123,2026-07-19 01:53:58.123,1.666666666666714,217.4496644295302,-15.194805194805197,{'dither': False},61240.07798753472,4,14.496644295302016
88_32,2026-07-19 01:53:58.123,2026-07-19 01:55:38.123,1.666666666666714,212.61744966442956,-15.194805194805197,{'dither': False},61240.07914494213,4,14.174496644295306
Unused Time,2026-07-19 01:55:38.123,2026-07-19 01:57:18.123,1.6666666666659147,,,,61240.08030234954,4,
80_26_dither,2026-07-19 01:57:18.123,2026-07-19 01:58:58.123,1.666666666666714,209.28885449346407,-29.220779220779225,{'dither': True},61240.08145975695,5,13.952590299564275
90_28_dither,2026-07-19 01:58:58.123,2026-07-19 02:00:38.123,1.666666666666714,227.3113826536643,-24.545454545454543,{'dither': True},61240.08261716435,5,15.154092176910957
88_28_dither,2026-07-19 02:00:38.123,2026-07-19 02:02:18.123,1.666666666666714,222.2049996749409,-24.545454545454543,{'dither': True},61240.08377457176,5,14.813666644996063
86_28_dither,2026-07-19 02:02:18.123,2026-07-19 02:03:58.123,1.666666666666714,217.0986166962175,-24.545454545454543,{'dither': True},61240.08493197917,5,14.47324111308117
84_28_dither,2026-07-19 02:03:58.123,2026-07-19 02:05:38.123,1.666666666666714,211.9922337174941,-24.545454545454543,{'dither': True},61240.086089386576,5,14.132815581166275
